1	first-order administrative division	a primary administrative division of a country, such as a state in the United States	has_hypernym;6	108654360-n;DGM_equivalent	A.ADM1
2	second-order administrative division	a subdivision of a first-order administrative division	has_hypernym;6	108491826-n;DGM_hyponym	A.ADM2
3	third-order administrative division	a subdivision of a second-order administrative division	has_hypernym;6	108491826-n;DGM_hyponym	A.ADM3
4	fourth-order administrative division	a subdivision of a third-order administrative division	has_hypernym;6		A.ADM4
5	fifth-order administrative division	a subdivision of a fourth-order administrative division	has_hypernym;6		A.ADM5
6	administrative division	an administrative division of a country, undifferentiated as to administrative level		108491826-n;DGM_equivalent	A.ADMD
7	leased area	a tract of land leased to another country, usually for military installations		108497294-n;DGM_hyponym	A.LTER
8	political entity			108359949-n;DGM_equivalent	A.PCL
9	dependent political entity			108359949-n;DGM_hyponym	A.PCLD
10	freely associated state			108627316-n;DGM_equivalent	A.PCLF
11	independent political entity			108359949-n;DGM_equivalent	A.PCLI
12	section of independent political entity		meronym;11		A.PCLIX
13	semi-independent political entity			108359949-n;DGM_hyponym	A.PCLS
14	parish	an ecclesiastical district		108223688-n;DGM_equivalent	A.PRSH
15	territory			108552138-n;DGM_equivalent	A.TERR
16	zone			108688247-n;DGM_equivalent	A.ZN
17	buffer zone	a zone recognized as a buffer between two nations in which military presence is minimal or absent	has_hypernym;16		A.ZNB
18	seaplane landing area	a place on a waterbody where floatplanes land and take off		103638321-n;DGM_hyponym	H.AIRS
19	anchorage	an area where vessels may anchor		108639776-n;DGM_equivalent	H.ANCH
20	bay	a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf		109215664-n;DGM_equivalent	H.BAY
21	bays	coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf		109215664-n;DGM_equivalent	H.BAYS
22	bight	an open body of water forming a slight recession in a coastline		109220239-n;DGM_equivalent	H.BGHT
23	bank	an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation		109213565-n;DGM_equivalent	H.BNK
24	stream bank	a sloping margin of a stream channel which normally confines the stream to its channel on land	meronym;153		H.BNKR
25	section of bank		meronym;153		H.BNKX
26	bog	a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants		109225943-n;DGM_equivalent	H.BOG
27	icecap	a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet	meronym;62	109308743-n;DGM_equivalent	H.CAPG
28	channel	the deepest part of a stream, bay, lagoon, or strait, through which the main current flows		109241247-n;DGM_equivalent	H.CHN
29	lake channel	that part of a lake having water deep enough for navigation between islands, shoals, etc.	has_hypernym;153		H.CHNL
30	marine channel	that part of a body of water deep enough for navigation through an area otherwise not suitable	has_hypernym;153		H.CHNM
31	navigation channel	a buoyed channel of sufficient depth for the safe navigation of vessels	has_hypernym;153		H.CHNN
32	confluence	a place where two or more streams or intermittent streams flow together	meronym;153	108542634-n;DGM_equivalent	H.CNFL
33	canal	an artificial watercourse	has_hypernym;153	102947212-n;DGM_equivalent	H.CNL
34	aqueduct	a conduit used to carry water		102732433-n;DGM_equivalent	H.CNLA
35	canal bend	a conspicuously curved or bent section of a canal	meronym;153		H.CNLB
36	drainage canal	an artificial waterway carrying water away from a wetland or from drainage ditches	has_hypernym;153		H.CNLD
37	irrigation canal	a canal which serves as a main conduit for irrigation water	has_hypernym;153		H.CNLI
38	navigation canal	a watercourse constructed for navigation of vessels	has_hypernym;153		H.CNLN
39	abandoned canal		has_hypernym;153		H.CNLQ
40	underground irrigation canal	a gently inclined underground tunnel bringing water for irrigation from aquifers	has_hypernym;153		H.CNLSB
41	section of canal		meronym;153		H.CNLX
42	cove	a small coastal indentation, smaller than a bay		109257761-n;DGM_equivalent	H.COVE
43	tidal creek	a meandering channel in a coastal wetland subject to bi-directional tidal currents	has_hypernym;153	109229409-n;DGM_hyponym	H.CRKT
44	current	a horizontal flow of water in a given direction with uniform velocity		107406765-n;DGM_equivalent	H.CRNT
45	cutoff	a channel formed as a result of a stream cutting through a meander neck	has_hypernym;153	103006105-n;DGM_hyponym	H.CUTF
46	dock	a waterway between two piers, or cut into the land for the berthing of ships		103216828-n;DGM_equivalent	H.DCK
47	docking basin	a part of a harbor where ships dock		108639058-n;DGM_hyponym	H.DCKB
48	icecap dome	a comparatively elevated area on an icecap	meronym;62	109308743-n;DGM_equivalent	H.DOMG
49	icecap depression	a comparatively depressed area on an icecap	meronym;62	109366017-n;DGM_hyponym	H.DPRG
50	ditch	a small artificial watercourse dug for draining or irrigating the land	has_hypernym;153	103214253-n;DGM_equivalent	H.DTCH
51	drainage ditch	a ditch which serves to drain the land	has_hypernym;153	103232309-n;DGM_equivalent	H.DTCHD
52	irrigation ditch	a ditch which serves to distribute irrigation water	has_hypernym;153	103587205-n;DGM_equivalent	H.DTCHI
53	ditch mouth	an area where a drainage ditch enters a lagoon, lake or bay	meronym;153	109362316-n;DGM_hyponym	H.DTCHM
54	estuary	a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences	meronym;153	109274500-n;DGM_equivalent	H.ESTY
55	fishing area	a fishing ground, bank or area where fishermen go to catch fish		108497294-n;DGM_hyponym	H.FISH
56	fjord	a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts		109281104-n;DGM_equivalent	H.FJD
57	fjords	long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts		109281104-n;DGM_equivalent	H.FJDS
58	waterfall	a perpendicular or very steep descent of the water of a stream		109475292-n;DGM_equivalent	H.FLLS
59	section of waterfall		meronym;58		H.FLLSX
60	mud flat	a relatively level area of mud either between high and low tide lines, or subject to flooding	has_hypernym;549	108600618-n;DGM_equivalent	H.FLTM
61	tidal flat	a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide	has_hypernym;549	109281411-n;DGM_hyponym	H.FLTT
62	glacier	a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses		109289331-n;DGM_equivalent	H.GLCR
63	gulf	a large recess in the coastline, larger than a bay		109296121-n;DGM_equivalent	H.GULF
64	geyser	a type of hot spring with intermittent eruptions of jets of hot water and steam		109288635-n;DGM_equivalent	H.GYSR
65	harbor	a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships		108639058-n;DGM_equivalent	H.HBR
66	section of harbor		meronym;65		H.HBRX
67	inlet	a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water	meronym;153	109313716-n;DGM_equivalent	H.INLT
68	former inlet	an inlet which has been filled in, or blocked by deposits	meronym;153	109313716-n;DGM_hyponym	H.INLTQ
69	lake bed	a dried up or drained area of a former lake	has_hypernym;73	109330378-n;DGM_equivalent	H.LBED
70	lagoon	a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature		109328746-n;DGM_equivalent	H.LGN
71	lagoons	shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature		109328746-n;DGM_equivalent	H.LGNS
72	section of lagoon		has_hypernym;70		H.LGNX
73	lake	a large inland body of standing water		109328904-n;DGM_equivalent	H.LK
74	crater lake	a lake in a crater or caldera	has_hypernym;73	109328904-n;DGM_hyponym	H.LKC
75	intermittent lake		has_hypernym;73	109328904-n;DGM_hyponym	H.LKI
76	salt lake	an inland body of salt water with no outlet	has_hypernym;73	109328904-n;DGM_hyponym	H.LKN
77	intermittent salt lake		has_hypernym;73	109328904-n;DGM_hyponym	H.LKNI
78	oxbow lake	a crescent-shaped lake commonly found adjacent to meandering streams	meronym;153	109382191-n;DGM_hyponym	H.LKO
79	intermittent oxbow lake		meronym;153	109382191-n;DGM_hyponym	H.LKOI
80	lakes	large inland bodies of standing water		109328904-n;DGM_equivalent	H.LKS
81	underground lake	a standing body of water in a cave	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSB
82	crater lakes	lakes in a crater or caldera	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSC
83	intermittent lakes		has_hypernym;73	109328904-n;DGM_hyponym	H.LKSI
84	salt lakes	inland bodies of salt water with no outlet	has_hypernym;73	109328904-n;DGM_hyponym	H.LKSN
85	intermittent salt lakes		has_hypernym;73	109328904-n;DGM_hyponym	H.LKSNI
86	section of lake		meronym;73		H.LKX
87	salt evaporation ponds	diked salt ponds used in the production of solar evaporated salt		109397391-n;DGM_hyponym	H.MFGN
88	mangrove swamp	a tropical tidal mud flat characterized by mangrove vegetation		109452395-n;DGM_hyponym	H.MGV
89	moor	an area of open ground overlaid with wet peaty soils		109358751-n;DGM_equivalent	H.MOOR
90	marsh(es)	a wetland dominated by grass-like vegetation		109347779-n;DGM_equivalent	H.MRSH
91	salt marsh	a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants		109420794-n;DGM_hyponym	H.MRSHN
92	narrows	a navigable narrow part of a bay, strait, river, etc.		109365863-n;DGM_equivalent	H.NRWS
93	ocean	one of the major divisions of the vast expanse of salt water covering part of the earth		109376198-n;DGM_equivalent	H.OCN
94	overfalls	an area of breaking waves caused by the meeting of currents or by waves moving against the current		109475292-n;DGM_equivalent	H.OVF
95	pond	a small standing waterbody		109397391-n;DGM_equivalent	H.PND
96	intermittent pond		has_hypernym;95	109397391-n;DGM_hyponym	H.PNDI
97	salt pond	a small standing body of salt water often in a marsh or swamp, usually along a seacoast	has_hypernym;95	109397391-n;DGM_hyponym	H.PNDN
98	intermittent salt pond		has_hypernym;95	109397391-n;DGM_hyponym	H.PNDNI
99	ponds	small standing waterbodies		109397391-n;DGM_equivalent	H.PNDS
100	fishponds	ponds or enclosures in which fish are kept or raised	has_hypernym;95	109280913-n;DGM_hyponym	H.PNDSF
101	intermittent ponds		has_hypernym;95	109397391-n;DGM_hyponym	H.PNDSI
102	salt ponds	small standing bodies of salt water often in a marsh or swamp, usually along a seacoast	has_hypernym;95	109397391-n;DGM_hyponym	H.PNDSN
103	pool	a small and comparatively still, deep part of a larger body of water such as a stream or harbor; or a small body of standing water	has_hypernym;95	109397607-n;DGM_equivalent	H.POOL
104	intermittent pool		has_hypernym;95	103982060-n;DGM_hyponym	H.POOLI
105	reach	a straight section of a navigable stream or channel between two bends	meronym;153		H.RCH
106	icecap ridge	a linear elevation on an icecap	meronym;62		H.RDGG
107	roadstead	an open anchorage affording less protection than a harbor		108640300-n;DGM_equivalent	H.RDST
108	reef	a surface-navigation hazard composed of consolidated material		109406793-n;DGM_equivalent	H.RF
109	coral reef	a surface-navigation hazard composed of coral		109256479-n;DGM_equivalent	H.RFC
110	section of reef		meronym;180		H.RFX
111	rapids	a turbulent section of a stream associated with a steep, irregular stream bed	meronym;153	109405396-n;DGM_equivalent	H.RPDS
112	reservoir	an artificial pond or lake	has_hypernym;73	104078747-n;DGM_equivalent	H.RSV
113	intermittent reservoir		has_hypernym;112	104078747-n;DGM_hyponym	H.RSVI
114	water tank	a contained pool or tank of water at, below, or above ground level		103035715-n;DGM_equivalent	H.RSVT
115	ravine	a small, narrow, deep, steep-sided stream channel, smaller than a gorge		109405787-n;DGM_equivalent	H.RVN
116	sabkha	a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides	has_hypernym;549	109420550-n;DGM_equivalent	H.SBKH
117	sound	a long arm of the sea forming a channel between the mainland and an island or islands; or connecting two larger bodies of water	meronym;118	109446115-n;DGM_equivalent	H.SD
118	sea	a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean		109426788-n;DGM_equivalent	H.SEA
119	shoal	a surface-navigation hazard composed of unconsolidated material		109433312-n;DGM_equivalent	H.SHOL
120	sill	the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord		109435232-n;DGM_equivalent	H.SILL
121	spring	a place where ground water flows naturally out of the ground		109443453-n;DGM_equivalent	H.SPNG
122	sulphur spring	a place where sulphur ground water flows naturally out of the ground	has_hypernym;121	109443453-n;DGM_hyponym	H.SPNS
123	hot spring	a place where hot ground water flows naturally out of the ground	has_hypernym;121	109305898-n;DGM_hyponym	H.SPNT
124	stream	a body of running water moving to a lower level in a channel on land		109448361-n;DGM_equivalent	H.STM
125	anabranch	a diverging branch flowing out of a main stream and rejoining it downstream	meronym;153	109228324-n;DGM_hyponym	H.STMA
126	stream bend	a conspicuously curved or bent segment of a stream	meronym;153	102829696-n;DGM_hyponym	H.STMB
127	canalized stream	a stream that has been substantially ditched, diked, or straightened	has_hypernym;153	109448361-n;DGM_hyponym	H.STMC
128	distributary(-ies)	a branch which flows away from the main stream, as in a delta or irrigation canal	has_hypernym;153	109267602-n;DGM_equivalent	H.STMD
129	headwaters	the source and upper part of a stream, including the upper drainage basin	meronym;153	108508629-n;DGM_equivalent	H.STMH
130	intermittent stream		has_hypernym;153	109448361-n;DGM_hyponym	H.STMI
131	section of intermittent stream		meronym;153		H.STMIX
132	stream mouth	a place where a stream discharges into a lagoon, lake, or the sea	meronym;153	109362316-n;DGM_hyponym	H.STMM
133	abandoned watercourse	a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns	has_hypernym;153	109448361-n;DGM_hyponym	H.STMQ
134	streams	bodies of running water moving to a lower level in a channel on land	has_hypernym;153	109448361-n;DGM_hyponym	H.STMS
135	lost river	a surface stream that disappears into an underground channel, or dries up in an arid area	has_hypernym;153	109448361-n;DGM_hyponym	H.STMSB
136	section of stream		has_hypernym;153		H.STMX
137	strait	a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water		109446115-n;DGM_equivalent	H.STRT
138	swamp	a wetland dominated by tree vegetation		109452395-n;DGM_equivalent	H.SWMP
139	irrigation system	a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.		101057631-n;DGM_equivalent	H.SYSI
140	canal tunnel	a tunnel through which a canal passes		104497962-n;DGM_hyponym	H.TNLC
141	wadi	a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse; found primarily in North Africa and the Middle East	has_hypernym;153	109474010-n;DGM_equivalent	H.WAD
142	wadi bend	a conspicuously curved or bent segment of a wadi	meronym;142		H.WADB
143	wadi junction	a place where two or more wadies join	meronym;142	103605722-n;DGM_hyponym	H.WADJ
144	wadi mouth	the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody	meronym;142		H.WADM
145	wadies	valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses; found primarily in North Africa and the Middle East	has_hypernym;153	109474010-n;DGM_equivalent	H.WADS
146	section of wadi		meronym;142		H.WADX
147	whirlpool	a turbulent, rotating movement of water in a stream		107433145-n;DGM_equivalent	H.WHRL
148	well	a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface		104572344-n;DGM_equivalent	H.WLL
149	abandoned well		has_hypernym;149	104572344-n;DGM_hyponym	H.WLLQ
150	wells	cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface		104572344-n;DGM_equivalent	H.WLLS
151	wetland	an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation		109477890-n;DGM_equivalent	H.WTLD
152	intermittent wetland		has_hypernym;153	109477890-n;DGM_hyponym	H.WTLDI
153	watercourse	a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water		109475179-n;DGM_equivalent	H.WTRC
154	waterhole	a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas		109366017-n;DGM_hyponym	H.WTRH
155	agricultural colony	a tract of land set aside for agricultural settlement	has_hypernym;15	101104406-n;DGM_equivalent	L.AGRC
156	amusement park	Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location		108494231-n;DGM_equivalent	L.AMUS
157	area	a tract of land without homogeneous character or boundaries		108497294-n;DGM_equivalent	L.AREA
158	drainage basin	an area drained by a stream	meronym;153	108518940-n;DGM_equivalent	L.BSND
159	petroleum basin	an area underlain by an oil-rich structural basin	has_hypernym;15	109215437-n;DGM_hyponym	L.BSNP
160	battlefield	a site of a land battle of historical importance		108506641-n;DGM_equivalent	L.BTL
161	clearing	an area in a forest with trees removed		108541288-n;DGM_equivalent	L.CLG
162	common	a park or pasture for community use	has_hypernym;15	108615374-n;DGM_equivalent	L.CMN
163	concession area	a lease of land by a government for economic development, e.g., mining, forestry	has_hypernym;15	108497294-n;DGM_hyponym	L.CNS
164	coalfield	a region in which coal deposits of possible economic value occur	has_hypernym;15	108659663-n;DGM_equivalent	L.COLF
165	continent	continent : Europe, Africa, Asia, North America, South America, Oceania,Antarctica		109254614-n;DGM_equivalent	L.CONT
166	coast	a zone of variable width straddling the shoreline		109428293-n;DGM_equivalent	L.CST
167	business center	a place where a number of businesses are located	has_hypernym;210	102993546-n;DGM_hyponym	L.CTRB
168	housing development	a tract of land on which many houses of similar design are built according to a development plan	has_hypernym;210	108549480-n;DGM_equivalent	L.DEVH
169	field	an open as opposed to wooded area		108569998-n;DGM_equivalent	L.FLD
170	irrigated field	a tract of level or terraced land which is irrigated	has_hypernym;169	108569998-n;DGM_hyponym	L.FLDI
171	gasfield	an area containing a subterranean store of natural gas of economic value		108659759-n;DGM_equivalent	L.GASF
172	grazing area	an area of grasses and shrubs used for grazing	has_hypernym;157	108616050-n;DGM_equivalent	L.GRAZ
173	gravel area	an area covered with gravel	has_hypernym;157	108497294-n;DGM_hyponym	L.GVL
174	industrial area	an area characterized by industrial activity	has_hypernym;157	108497294-n;DGM_hyponym	L.INDS
175	arctic land	a tract of land in the Arctic	has_hypernym;195	108496477-n;DGM_equivalent	L.LAND
176	locality	a minor area or place of unspecified or mixed character and indefinite boundaries		108641113-n;DGM_equivalent	L.LCTY
177	military base	a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated		102798290-n;DGM_equivalent	L.MILB
178	mining area	an area of mine sites where minerals and ores are extracted	has_hypernym;157	100922327-n;DGM_equivalent	L.MNA
179	maneuver area	a tract of land where military field exercises are carried out	has_hypernym;157	108497294-n;DGM_hyponym	L.MVA
180	naval base	an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated		102798290-n;DGM_hyponym	L.NVB
181	oasis(-es)	an area in a desert made productive by the availability of water		108506496-n;DGM_equivalent	L.OAS
182	oilfield	an area containing a subterranean store of petroleum of economic value		108659861-n;DGM_equivalent	L.OILF
183	peat cutting area	an area where peat is harvested	has_hypernym;157	108497294-n;DGM_hyponym	L.PEAT
184	park	an area, often of forested land, maintained as a place of beauty, or for recreation		108615149-n;DGM_equivalent	L.PRK
185	port	a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor		108633957-n;DGM_equivalent	L.PRT
186	quicksand	an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink	has_hypernym;157	109402944-n;DGM_equivalent	L.QCKS
187	reserve	a tract of public land reserved for future use or restricted as to use		108587174-n;DGM_equivalent	L.RES
188	agricultural reserve	a tract of land reserved for agricultural reclamation and/or development	has_hypernym;187		L.RESA
189	forest reserve	a forested area set aside for preservation or controlled use	has_hypernym;187		L.RESF
190	hunting reserve	a tract of land used primarily for hunting	has_hypernym;187		L.RESH
191	nature reserve	an area reserved for the maintenance of a natural habitat	has_hypernym;187		L.RESN
192	palm tree reserve	an area of palm trees where use is controlled	has_hypernym;187		L.RESP
193	reservation	a tract of land set aside for aboriginal, tribal, or native populations	has_hypernym;187	108587174-n;DGM_hyponym	L.RESV
194	wildlife reserve	a tract of public land reserved for the preservation of wildlife	has_hypernym;187		L.RESW
195	region	an area distinguished by one or more observable physical or cultural characteristics		108630985-n;DGM_equivalent	L.RGN
196	economic region	a region of a country established for economic development or for statistical purposes	has_hypernym;195	108630985-n;DGM_hyponym	L.RGNE
197	lake region	a tract of land distinguished by numerous lakes	has_hypernym;187		L.RGNL
198	artillery range	a tract of land used for artillery firing practice	has_hypernym;157	104053218-n;DGM_hyponym	L.RNGA
199	salt area	a shallow basin or flat where salt accumulates after periodic inundation	has_hypernym;157	109281411-n;DGM_hyponym	L.SALT
200	snowfield	an area of permanent snow and ice forming the accumulation area of a glacier		109439032-n;DGM_equivalent	L.SNOW
201	tribal area	a tract of land used by nomadic or other tribes	has_hypernym;157		L.TRB
202	populated place	a city, town, village, or other agglomeration of buildings where people live and work		108675967-n;DGM_equivalent	P.PPL
203	seat of a first-order administrative division	seat of a first-order administrative division (PPLC takes precedence over PPLA)	has_hypernym;202	108518505-n;DGM_equivalent	P.PPLA
204	seat of a second-order administrative division		has_hypernym;202	108518505-n;DGM_equivalent	P.PPLA2
205	seat of a third-order administrative division		has_hypernym;202	108518505-n;DGM_equivalent	P.PPLA3
206	seat of a fourth-order administrative division		has_hypernym;202	108518505-n;DGM_equivalent	P.PPLA4
207	capital of a political entity		has_hypernym;202	108518505-n;DGM_equivalent	P.PPLC
208	farm village	a populated place where the population is largely engaged in agricultural activities	has_hypernym;202	108672738-n;DGM_equivalent	P.PPLF
209	seat of government of a political entity		has_hypernym;202	108518505-n;DGM_equivalent	P.PPLG
210	populated locality	an area similar to a locality but with a small group of dwellings or other buildings	has_hypernym;202	108675967-n;DGM_equivalent	P.PPLL
211	abandoned populated place		has_hypernym;211	108675967-n;DGM_hyponym	P.PPLQ
212	religious populated place	a populated place whose population is largely engaged in religious occupations	has_hypernym;211	108675967-n;DGM_hyponym	P.PPLR
213	populated places	cities, towns, villages, or other agglomerations of buildings where people live and work	has_hypernym;202	108675967-n;DGM_equivalent	P.PPLS
214	destroyed populated place	a village, town or city destroyed by a natural disaster, or by war	has_hypernym;211	108675967-n;DGM_hyponym	P.PPLW
215	section of populated place		has_hypernym;211		P.PPLX
216	israeli settlement		has_hypernym;211	108056873-n;DGM_equivalent	P.STLMT
217	causeway	a raised roadway across wet ground or shallow water	has_hypernym;221	102986920-n;DGM_equivalent	R.CSWY
218	oil pipeline	a pipeline used for transporting oil		103844459-n;DGM_equivalent	R.OILP
219	promenade	a place for public walking, usually along a beach front	has_hypernym;221	104010205-n;DGM_equivalent	R.PRMN
220	portage	a place where boats, goods, etc., are carried overland between navigable waters	has_hypernym;221	103985588-n;DGM_equivalent	R.PTGE
221	road	an open way with improved surface for transportation of animals, people and vehicles		104096066-n;DGM_equivalent	R.RD
222	ancient road	the remains of a road used by ancient cultures	has_hypernym;221	104096066-n;DGM_hyponym	R.RDA
223	road bend	a conspicuously curved or bent section of a road	has_hypernym;221	102829696-n;DGM_hyponym	R.RDB
224	road cut	an excavation cut through a hill or ridge for a road	meronym;221	103152619-n;DGM_hyponym	R.RDCUT
225	road junction	a place where two or more roads join	meronym;221	103581125-n;DGM_equivalent	R.RDJCT
226	railroad junction	a place where two or more railroad tracks join	meronym;227	104048979-n;DGM_equivalent	R.RJCT
227	railroad	a permanent twin steel-rail track on which freight and passenger cars move long distances		104048075-n;DGM_equivalent	R.RR
228	abandoned railroad		has_hypernym;227	104048075-n;DGM_hyponym	R.RRQ
